rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,train/n_updates,train/value_loss,train/explained_variance,train/loss,train/clip_fraction,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/clip_range
177.76,98,86.79,167,100352,598,970,1535.3136440277099,0.03500562906265259,710.1192016601562,0.02451171875,-0.09459478491917253,-0.001942148563102819,0.0003,0.0027729021,0.2
182.92,99,87.99,169,101376,598,980,1749.9061332702636,0.1264694333076477,1018.5349731445312,0.017578125,-0.08964312456082553,-0.0008688018511747942,0.0003,0.00086337887,0.2
177.05,100,87.07,170,102400,598,990,1212.4064876556397,0.1115228533744812,447.731689453125,0.00546875,-0.08860789404716343,4.534314502961934e-05,0.0003,0.00010960389,0.2
169.43,101,85.39,172,103424,599,1000,1199.4785556793213,0.20345163345336914,599.5399780273438,0.00859375,-0.08824782674200833,-0.0003584868216421455,0.0003,0.0005482674,0.2
167.29,102,84.24,174,104448,599,1010,1190.9045886993408,0.15474969148635864,516.7654418945312,0.008984375,-0.08144019949249923,-0.0012998241931200028,0.0003,0.0010012067,0.2
157.64,103,81.52,175,105472,599,1020,1256.1116344451905,0.19881278276443481,529.723876953125,0.007421875,-0.09363176298793405,-0.00016475377778988332,0.0003,0.00061894616,0.2
153.18,104,80.03,177,106496,599,1030,1111.9707000732421,0.2435387372970581,519.912109375,0.02275390625,-0.09003557547694072,-0.0024566876294557006,0.0003,0.0010346136,0.2
139.5,105,76.25,179,107520,599,1040,1182.5574657440186,0.3166350722312927,511.8230285644531,0.01904296875,-0.0951021593529731,-0.0027831834042444823,0.0003,0.0014410801,0.2
140.81,106,76.57,181,108544,599,1050,1087.036026763916,0.29822927713394165,485.2264404296875,0.0115234375,-0.07404339737258851,-0.0007486429152777418,0.0003,0.0007162885,0.2
147.03,107,78.83,182,109568,599,1060,845.6819549560547,0.4237182140350342,496.63104248046875,0.00478515625,-0.07777593464124948,-0.0003805669111898169,0.0003,0.00031771828,0.2
157.18,108,81.06,184,110592,599,1070,1394.8280097961426,0.17924970388412476,659.2545776367188,0.0080078125,-0.08107223655097187,-0.00037948610261082647,0.0003,0.00085210195,0.2
158.08,109,80.97,186,111616,599,1080,1215.2277847290038,0.2647087574005127,832.84765625,0.007421875,-0.07322667671833187,-5.666350480169058e-05,0.0003,0.0008502839,0.2
156.41,110,81.28,187,112640,599,1090,1293.4278141021728,0.2642499804496765,500.9167175292969,0.0078125,-0.08596766693517566,-0.0003178292303346097,0.0003,0.000604155,0.2
166.25,111,84.19,189,113664,600,1100,1333.4354339599608,0.2941725254058838,601.7258911132812,0.015625,-0.07511213406687603,-0.0012839449103921653,0.0003,0.0015949315,0.2
170.46,112,85.43,191,114688,600,1110,1255.8115600585938,0.3247200846672058,436.0044860839844,0.00791015625,-0.06847857432439923,-0.0005054760607890785,0.0003,0.0007506738,0.2
175.98,113,86.99,192,115712,600,1120,1279.919719696045,0.2348337173461914,639.5921020507812,0.0046875,-0.0775943087763153,0.00011494836071506143,0.0003,0.00023037134,0.2
186.83,114,89.92,194,116736,600,1130,1374.0547424316405,0.27079349756240845,703.0549926757812,0.00185546875,-0.07423195169540123,9.653355227783323e-05,0.0003,6.1614e-05,0.2
185.56,115,89.64,196,117760,600,1140,1204.117446899414,0.32922595739364624,531.0133056640625,0.01591796875,-0.06600500055355951,-0.0019359818543307483,0.0003,0.0005470384,0.2
178.55,116,87.58,197,118784,600,1150,1377.1324382781982,0.2514958381652832,644.7164306640625,0.00732421875,-0.07443811753764748,-0.0010867536184377968,0.0003,0.0008488073,0.2
179.36,117,88.39,199,119808,599,1160,1287.196594619751,0.34794390201568604,721.4009399414062,0.02861328125,-0.08018557915929705,-0.0023906223650556058,0.0003,0.0024407255,0.2
183.07,118,89.13,201,120832,598,1170,1518.0149299621582,0.19691503047943115,829.5513916015625,0.0255859375,-0.07594502361025661,-0.0021542478818446396,0.0003,0.0013671039,0.2
193.87,119,92.01,203,121856,599,1180,1184.1911792755127,0.2828078866004944,642.3815307617188,0.0087890625,-0.07527531158411875,-0.0005367898906115442,0.0003,8.064983e-05,0.2
193.63,120,91.77,204,122880,599,1190,1197.369821166992,0.3850926160812378,518.765380859375,0.01044921875,-0.07886659384239465,-0.0012716570316115394,0.0003,0.0006912067,0.2
187.13,121,90.22,206,123904,599,1200,943.869486618042,0.4942551851272583,453.0954895019531,0.00390625,-0.07698427207069472,-0.0005714273254852742,0.0003,0.0011044525,0.2
165.23,122,84.16,208,124928,599,1210,984.639461517334,0.4391651749610901,448.63848876953125,0.008203125,-0.07816075694281607,3.208146372344345e-05,0.0003,0.0014108048,0.2
174.84,123,86.84,209,125952,600,1220,1115.9062408447267,0.3569016456604004,560.2586669921875,0.015234375,-0.06194361529778689,-0.0006203973956871778,0.0003,0.0011627432,0.2
179.36,124,88.39,211,126976,600,1230,1100.8319709777832,0.45819294452667236,347.4388122558594,0.01650390625,-0.06874606567434967,-0.0018482087063603104,0.0003,0.0018300156,0.2
