time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/clip_range,train/loss,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/approx_kl
193,629,121856,10.891000000000002,106.23,119,0.2,0.4216459095478058,0.015234375,0.5659619569778442,1180,-0.04399228992406279,1.4870691858232021,0.00042332036537118256,0.0003,0.00042121275
195,629,122880,11.17,108.48,120,0.2,0.33899664878845215,0.01416015625,0.7412040829658508,1190,-0.04511584314750507,0.9546490969136358,-0.0004550676268991083,0.0003,0.001235294
196,629,123904,11.435000000000002,110.68,121,0.2,0.5102681517601013,0.0130859375,0.5946425199508667,1200,-0.04240596294985153,1.2005095971748232,0.0009735666564665735,0.0003,0.00073089363
198,630,124928,11.549000000000003,111.64,122,0.2,0.4576229751110077,0.0185546875,0.6419617235660553,1210,-0.04459737909783144,1.2607295610010625,-0.0013311958231497557,0.0003,0.0012961974
199,630,125952,11.387,110.38,123,0.2,0.5132007598876953,0.01845703125,0.7628219872713089,1220,-0.038246593065559865,0.9473938576877117,0.00030210569966584446,0.0003,0.0018772405
201,630,126976,11.196000000000002,108.83,124,0.2,0.4706754684448242,0.01728515625,0.6310095489025116,1230,-0.045136140810791404,1.3644084610044955,-8.525392040610313e-05,0.0003,0.00068285945
203,630,128000,11.102,108.07,125,0.2,0.7474217414855957,0.01806640625,0.6298424899578094,1240,-0.04890058798482642,1.628836626186967,-0.0015623663028236478,0.0003,0.0017341154
204,630,129024,10.943000000000001,106.75,126,0.2,0.7924523949623108,0.0142578125,0.6482332944869995,1250,-0.04473990159167442,1.3184931382536889,0.0008320052234921605,0.0003,0.00080222543
206,630,130048,10.645000000000005,104.4,127,0.2,0.6921173930168152,0.02900390625,0.6701731979846954,1260,-0.05319492446142249,1.380500292405486,-0.0011421763570979237,0.0003,0.0031609484
207,630,131072,10.366,102.15,128,0.2,0.5813760161399841,0.0275390625,0.5858502388000488,1270,-0.05534731358056888,1.4288517523556947,-0.0010537469410337509,0.0003,0.00045494456
209,630,132096,9.987,99.17,129,0.2,0.8881500959396362,0.030859375,0.7065408527851105,1280,-0.054957907891366634,1.0771646410226823,-0.0003952553088311106,0.0003,0.0030088476
211,630,133120,9.431000000000001,94.69,130,0.2,0.20738931000232697,0.01728515625,0.7106100022792816,1290,-0.05126176901394501,0.6921458762139082,0.0008191343047656118,0.0003,0.0011470241
212,630,134144,9.491,95.2,131,0.2,0.32568851113319397,0.022265625,0.6495849192142487,1300,-0.05183783455286175,0.8621343122795224,-0.0010503453551791609,0.0003,0.0020945305
214,630,135168,9.387,94.34,132,0.2,0.28469812870025635,0.01728515625,0.7144509851932526,1310,-0.05033777752541937,0.7758558107540011,-0.0008605210721725598,0.0003,0.0010185718
215,630,136192,9.522,95.42,133,0.2,0.2776343524456024,0.0306640625,0.6962831616401672,1320,-0.047968189950915986,0.7424463562667369,-0.0013748209457844496,0.0003,0.004679743
217,630,137216,9.536999999999999,95.48,134,0.2,0.2729357182979584,0.0279296875,0.7431671023368835,1330,-0.03930357521094265,0.6821557341143489,-0.0023348450718913226,0.0003,0.0041567264
219,630,138240,9.686,96.7,135,0.2,0.39777320623397827,0.013671875,0.6970990598201752,1340,-0.04805577539955266,0.7816613821312786,0.00047184355789795516,0.0003,0.00064414943
220,630,139264,9.954,98.93,136,0.2,0.17639212310314178,0.0271484375,0.7285027503967285,1350,-0.04601156884455122,0.8016690177842974,-0.0017642152262851596,0.0003,0.0010476167
222,630,140288,10.305,101.72,137,0.2,0.3779869079589844,0.01318359375,0.6160954833030701,1360,-0.05048229634412564,1.3151360651478172,-0.0016735824494389818,0.0003,0.0033561233
224,630,141312,10.287,101.54,138,0.2,0.21701039373874664,0.02548828125,0.811488687992096,1370,-0.052472581760957836,0.6615548031404614,-0.00015674586175009608,0.0003,0.0034120383
225,630,142336,10.419,102.59,139,0.2,0.251669317483902,0.02333984375,0.8836089000105858,1380,-0.04801369262859225,0.5392085365951061,-0.0005008588952478022,0.0003,0.0020323754
227,630,143360,10.237,101.04,140,0.2,0.2976238429546356,0.02763671875,0.8379424065351486,1390,-0.048335093405330556,0.7286953276954591,0.0024329918902367353,0.0003,0.0004912252
228,630,144384,10.220000000000002,100.87,141,0.2,0.4971904158592224,0.0205078125,0.8486161381006241,1400,-0.04534439871204086,0.6910442454740405,-0.0015434387518325821,0.0003,0.0078255255
230,630,145408,10.286,101.35,142,0.2,0.3615901470184326,0.02255859375,0.8564942628145218,1410,-0.04076243941672146,0.6194008372724056,-0.0007394141517579556,0.0003,0.0024919654
232,630,146432,10.386000000000003,102.17,143,0.2,0.15518173575401306,0.011328125,0.7969440370798111,1420,-0.053302125743357465,0.7497038874775172,0.0015935035538859666,0.0003,0.0024805046
233,630,147456,10.146,100.31,144,0.2,0.5069263577461243,0.01953125,0.7551910132169724,1430,-0.05257526026398409,0.8633811363950372,0.0005196935322601348,0.0003,0.001399288
235,630,148480,10.009,99.21,145,0.2,0.29409298300743103,0.02021484375,0.8002837300300598,1440,-0.04656248267856426,0.6581091322936118,0.0005360005365218967,0.0003,0.000739613
